day,store_type,channel,campaign_network,installs,cost,all_revenue_total_d0,all_revenue_total_d3,all_revenue_total_d7,all_revenue_total_d14,all_revenue_total_d30,all_revenue_total_d60,all_revenue_total_d90,all_revenue_total_d120,all_revenue_total_m6,retention_rate_d1,retention_rate_d3,retention_rate_d14,retention_rate_d30,retention_rate_d60,retention_rate_d90,retention_rate_d120,retention_rate_m6,ecpi_all
2026-03-07,google_play,Organic,unknown,3715,0.0,44.6416,60.5698,80.6441,101.658,197.5673,0.0,0.0,0.0,0.0,0.1026,0.0557,0.018,0.0062,0.0,0.0,0.0,0.0,0.0
2026-01-09,google_play,Organic,unknown,3671,0.0,80.4248,159.3708,241.4302,442.0486,621.019,700.541,713.4253,0.0,0.0,0.1425,0.0823,0.0316,0.0155,0.0095,0.0071,0.0,0.0,0.0
2025-11-08,google_play,Organic,unknown,3528,0.0,86.1677,123.6676,164.4347,195.6158,242.082,284.151,328.6316,366.3252,0.0,0.1392,0.0782,0.0298,0.017,0.0125,0.0088,0.0068,0.0,0.0
2025-06-22,google_play,Organic,unknown,3482,0.0,83.1291,139.5089,165.2334,194.019,215.6566,249.5476,262.4173,273.0352,317.6049,0.1603,0.0841,0.0293,0.0129,0.0078,0.006,0.0043,0.0241,0.0
2025-06-24,google_play,Organic,unknown,3467,0.0,156.9411,302.826,343.3972,372.1026,463.8616,534.8214,592.652,616.5994,724.7618,0.1494,0.0816,0.0239,0.0153,0.0087,0.0063,0.0063,0.0196,0.0
2025-06-23,google_play,Organic,unknown,3392,0.0,109.0248,216.4804,260.9477,305.5792,361.6288,423.0516,475.9706,529.4459,622.0768,0.1533,0.0896,0.0324,0.0203,0.01,0.0056,0.0044,0.0233,0.0
2026-03-08,google_play,Organic,unknown,3358,0.0,88.9952,141.9915,160.9898,198.1382,246.984,0.0,0.0,0.0,0.0,0.1266,0.0667,0.0229,0.0122,0.0,0.0,0.0,0.0,0.0
2025-07-03,google_play,Organic,unknown,3340,0.0,75.021,321.76,392.5879,646.7203,735.8757,817.4643,878.599,897.3774,917.8024,0.1668,0.0892,0.0269,0.0168,0.0105,0.0081,0.0063,0.0243,0.0
2025-06-25,google_play,Organic,unknown,3337,0.0,81.8152,127.2881,149.3665,174.0103,209.0749,249.0582,264.562,278.3122,313.0877,0.1525,0.0758,0.0252,0.0207,0.0087,0.006,0.0048,0.0222,0.0
2025-02-01,google_play,Organic,unknown,3331,0.0,66.8094,132.0202,159.0348,199.6648,220.511,245.61,265.0152,291.1463,325.6042,0.1723,0.0925,0.0405,0.0204,0.0132,0.0078,0.0084,0.0228,0.0
2025-07-04,google_play,Organic,unknown,3323,0.0,77.841,159.0558,181.6162,197.3741,229.8185,286.9046,420.8106,457.3498,528.806,0.1589,0.0888,0.0298,0.0172,0.0087,0.0069,0.0057,0.0235,0.0
2025-11-09,google_play,Organic,unknown,3321,0.0,108.567,157.2788,274.1696,314.0928,365.1332,491.9085,550.5734,628.1924,0.0,0.1415,0.0786,0.0334,0.0166,0.0096,0.009,0.0048,0.0,0.0
2026-01-02,google_play,Organic,unknown,3268,0.0,49.3486,72.2358,107.0992,129.0586,143.4672,177.9096,186.9702,0.0,0.0,0.1365,0.071,0.0239,0.0168,0.0083,0.007,0.0,0.0,0.0
2025-01-02,google_play,Organic,unknown,3259,0.0,82.4992,175.5464,204.3566,271.6051,392.7952,427.4272,493.9285,548.0518,633.581,0.2166,0.1212,0.0457,0.031,0.0147,0.012,0.0086,0.0304,0.0
2025-12-07,google_play,Organic,unknown,3247,0.0,60.9214,99.1688,120.4217,135.1154,193.3134,251.7397,299.1973,322.0722,0.0,0.1247,0.0702,0.028,0.0154,0.0089,0.0071,0.004,0.0,0.0
2026-01-05,google_play,Organic,unknown,3212,0.0,61.2888,91.1721,110.4289,163.604,201.4185,242.63,255.7217,0.0,0.0,0.1538,0.0803,0.0233,0.0146,0.009,0.0056,0.0,0.0,0.0
2025-07-02,google_play,Organic,unknown,3201,0.0,44.4134,71.8664,115.5387,149.6198,184.2522,226.7056,236.0034,251.049,278.6206,0.1628,0.0856,0.0319,0.0203,0.0141,0.0072,0.0072,0.0197,0.0
2026-01-10,google_play,Organic,unknown,3193,0.0,71.6874,98.5335,145.1496,173.4724,273.4577,578.2124,608.6625,0.0,0.0,0.1328,0.0739,0.0326,0.0135,0.0085,0.0066,0.0,0.0,0.0
2025-02-02,google_play,Organic,unknown,3167,0.0,58.2168,173.912,218.8787,251.6282,287.1394,390.1134,408.0546,435.3044,489.3276,0.1702,0.1036,0.041,0.0221,0.0133,0.0085,0.0085,0.0297,0.0
2025-12-06,google_play,Organic,unknown,3147,0.0,91.0434,114.5446,168.25,197.5169,223.0352,250.3501,305.187,334.9851,0.0,0.136,0.0753,0.0286,0.0159,0.0076,0.006,0.0067,0.0,0.0
2025-07-07,google_play,Organic,unknown,3143,0.0,72.7109,130.7478,166.1727,189.3126,219.4531,546.5977,567.53,574.8225,597.9299,0.1559,0.0773,0.0239,0.0137,0.0064,0.0057,0.0048,0.0216,0.0
2026-01-08,google_play,Organic,unknown,3143,0.0,57.6569,85.5677,96.9538,112.7755,138.5095,161.8421,176.9752,0.0,0.0,0.1495,0.0786,0.0232,0.0137,0.0099,0.0067,0.0,0.0,0.0
2025-11-07,google_play,Organic,unknown,3134,0.0,71.279,156.87,189.3317,213.5515,343.6518,545.2776,696.7036,736.2624,0.0,0.1347,0.0689,0.0294,0.0131,0.008,0.007,0.0045,0.0,0.0
2025-08-03,google_play,Organic,unknown,3107,0.0,82.7793,138.7844,218.7581,292.4162,372.111,449.328,489.2612,557.92,677.2544,0.1551,0.0898,0.0351,0.0171,0.0109,0.009,0.0068,0.0238,0.0
2025-01-09,google_play,Organic,unknown,3089,0.0,51.9731,93.7807,131.7934,183.085,215.0342,246.2258,264.7401,279.5042,317.8606,0.1975,0.1133,0.0476,0.0253,0.0139,0.0123,0.0062,0.0291,0.0
2026-03-06,google_play,Organic,unknown,3083,0.0,55.4602,83.57,107.455,132.759,179.0279,0.0,0.0,0.0,0.0,0.1203,0.0571,0.024,0.0136,0.0,0.0,0.0,0.0,0.0
2025-12-05,google_play,Organic,unknown,3072,0.0,54.9401,67.8149,87.0361,99.1091,113.5498,145.2502,150.6644,192.5611,0.0,0.1455,0.0775,0.027,0.0146,0.0088,0.0062,0.0046,0.0,0.0
2025-08-09,google_play,Organic,unknown,3004,0.0,55.8512,100.5001,124.1642,143.9873,179.4669,203.9172,223.9055,244.8755,324.7082,0.1292,0.0716,0.028,0.0113,0.0103,0.0073,0.006,0.0186,0.0
2025-09-05,google_play,Organic,unknown,2979,0.0,104.1127,163.6228,178.6186,203.2267,238.3784,290.7845,337.7062,369.3558,398.6084,0.1524,0.0739,0.0319,0.0154,0.0097,0.0084,0.005,0.0191,0.0
2025-12-21,google_play,Organic,unknown,2964,0.0,51.9159,73.8261,111.3608,141.8968,181.9268,278.7718,353.1734,407.4938,0.0,0.1407,0.0776,0.0243,0.0179,0.0115,0.0108,0.0022,0.0,0.0
2025-10-04,google_play,Organic,unknown,2962,0.0,52.5792,91.3251,130.7766,153.7099,233.244,309.1613,356.3901,404.8205,611.1631,0.1124,0.0621,0.0219,0.0145,0.0108,0.0081,0.0054,0.0111,0.0
2025-01-01,google_play,Organic,unknown,2942,0.0,80.5196,132.63,198.1385,223.1202,357.6824,391.4239,417.6857,487.0536,604.7949,0.1873,0.1135,0.0421,0.0252,0.0146,0.0099,0.0088,0.0272,0.0
2025-06-26,google_play,Organic,unknown,2942,0.0,46.7795,79.3806,107.3845,136.694,187.0674,239.23,274.9982,283.8984,312.2842,0.1632,0.0816,0.0303,0.0173,0.0102,0.0065,0.0061,0.0204,0.0
2025-09-04,google_play,Organic,unknown,2930,0.0,113.8629,166.7198,189.5336,220.0006,255.9591,267.3745,274.0747,291.2842,397.152,0.1536,0.0713,0.0225,0.0181,0.0089,0.0058,0.0055,0.0184,0.0
2025-12-20,google_play,Organic,unknown,2920,0.0,31.5084,64.364,107.7005,148.3187,257.6284,362.0069,373.3983,400.9149,0.0,0.1219,0.0644,0.0243,0.0164,0.011,0.0099,0.0031,0.0,0.0
2025-12-27,google_play,Organic,unknown,2920,0.0,57.4586,112.3915,137.4469,174.0533,221.2896,347.9579,461.9868,0.0,0.0,0.1322,0.0777,0.0312,0.0202,0.0123,0.0079,0.0,0.0,0.0
2025-10-03,google_play,Organic,unknown,2917,0.0,32.1926,64.2458,78.168,86.0348,101.6452,120.7492,214.1748,270.7138,336.6159,0.1392,0.0689,0.0247,0.0141,0.0093,0.0055,0.0051,0.0086,0.0
2025-09-07,google_play,Organic,unknown,2899,0.0,104.5267,233.2058,305.797,348.8446,595.5697,747.1289,847.8319,906.5949,1015.8762,0.1414,0.0821,0.029,0.021,0.011,0.0093,0.0076,0.0183,0.0
2026-01-01,google_play,Organic,unknown,2871,0.0,42.5607,81.944,92.6049,116.5159,142.927,181.7377,194.14,0.0,0.0,0.1365,0.0683,0.0233,0.0202,0.0115,0.007,0.0,0.0,0.0
2025-06-21,google_play,Organic,unknown,2862,0.0,72.4172,105.364,133.2868,150.5504,183.0082,228.1232,255.1176,271.7838,341.2683,0.1527,0.0832,0.0314,0.0189,0.0077,0.0049,0.0059,0.0248,0.0
2026-04-11,google_play,Organic,unknown,2839,0.0,48.8618,67.4066,96.4303,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-27,google_play,Organic,unknown,2828,0.0,49.2649,115.5736,125.1617,147.1746,364.3034,727.212,838.2164,954.9675,1227.8869,0.1471,0.0792,0.0269,0.0145,0.0099,0.0085,0.0053,0.0212,0.0
2025-12-26,google_play,Organic,unknown,2823,0.0,93.586,148.4666,201.6413,227.4904,288.9184,338.737,390.4102,0.0,0.0,0.1534,0.0854,0.0337,0.0209,0.0117,0.0067,0.0,0.0,0.0
2025-02-07,google_play,Organic,unknown,2817,0.0,52.6296,114.9658,150.9879,270.2134,380.3874,451.2078,472.9604,524.8548,660.0192,0.1739,0.0958,0.0437,0.0256,0.0128,0.0082,0.0089,0.028,0.0
2026-01-07,google_play,Organic,unknown,2800,0.0,59.5403,104.8536,142.2629,183.4867,330.4761,467.4367,494.7802,0.0,0.0,0.1557,0.0857,0.0332,0.0189,0.0118,0.0082,0.0,0.0,0.0
2025-10-09,google_play,Organic,unknown,2793,0.0,45.494,65.5425,72.2035,78.1959,85.353,110.4382,117.2666,121.4589,124.8439,0.1318,0.0548,0.0201,0.0115,0.0072,0.0068,0.0039,0.0079,0.0
2026-03-28,google_play,Organic,unknown,2746,0.0,26.1222,37.568,55.1652,156.3164,0.0,0.0,0.0,0.0,0.0,0.1125,0.0594,0.0222,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,google_play,Organic,unknown,2740,0.0,48.6304,68.7188,121.6205,126.4767,139.6137,0.0,0.0,0.0,0.0,0.1354,0.0609,0.0164,0.0106,0.0,0.0,0.0,0.0,0.0
2025-12-08,google_play,Organic,unknown,2734,0.0,48.5207,87.1163,113.099,142.4442,219.282,324.9576,397.4046,468.0767,0.0,0.1609,0.0827,0.0256,0.0161,0.0088,0.0069,0.0048,0.0,0.0
2026-01-06,google_play,Organic,unknown,2733,0.0,43.5655,76.4736,92.3074,157.9747,206.9884,263.9039,284.6346,0.0,0.0,0.161,0.0904,0.0311,0.0172,0.0128,0.0077,0.0,0.0,0.0
2025-08-04,google_play,Organic,unknown,2725,0.0,74.8882,204.9647,237.8108,263.6215,438.5444,530.9122,553.0003,594.1675,751.4048,0.1435,0.0818,0.0297,0.0161,0.0117,0.0088,0.0084,0.0231,0.0
2025-08-08,google_play,Organic,unknown,2716,0.0,55.661,76.4286,88.4446,99.1171,116.282,147.1196,159.8985,169.2402,194.6391,0.1443,0.0747,0.0254,0.0155,0.0099,0.007,0.007,0.0188,0.0
2025-09-06,google_play,Organic,unknown,2689,0.0,69.3988,89.9022,99.1014,115.8604,165.4574,192.9848,215.2704,230.4762,271.9596,0.1365,0.0759,0.0342,0.0167,0.0078,0.01,0.0048,0.0231,0.0
2026-04-04,google_play,Organic,unknown,2688,0.0,65.0482,233.8898,267.0258,347.1664,0.0,0.0,0.0,0.0,0.0,0.1291,0.0707,0.0253,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-06,google_play,Organic,unknown,2687,0.0,47.1386,131.2216,191.7559,207.9035,231.3137,279.5697,322.5466,370.4912,0.0,0.1414,0.0752,0.0331,0.0164,0.01,0.0086,0.0056,0.0,0.0
2026-03-26,google_play,Organic,unknown,2677,0.0,55.6587,82.532,98.4366,116.5368,0.0,0.0,0.0,0.0,0.0,0.1165,0.0609,0.0191,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,google_play,Organic,unknown,2676,0.0,45.2873,96.1667,127.4174,200.6374,350.7572,0.0,0.0,0.0,0.0,0.1312,0.068,0.031,0.0194,0.0,0.0,0.0,0.0,0.0
2025-02-04,google_play,Organic,unknown,2672,0.0,52.0618,92.2825,117.7287,151.0508,200.2091,250.755,283.4522,310.2686,339.3172,0.1879,0.1138,0.0367,0.0281,0.0168,0.0101,0.0101,0.0273,0.0
2026-03-14,google_play,Organic,unknown,2665,0.0,34.8262,62.039,108.3904,157.1145,535.0388,0.0,0.0,0.0,0.0,0.1268,0.0634,0.0315,0.0176,0.0,0.0,0.0,0.0,0.0
2025-07-01,google_play,Organic,unknown,2657,0.0,46.466,107.7446,146.4732,171.4026,237.613,343.2441,453.0042,490.4555,716.4122,0.1517,0.082,0.0309,0.0215,0.0105,0.0079,0.0068,0.0226,0.0
2025-06-20,google_play,Organic,unknown,2656,0.0,44.046,65.673,90.5133,119.9879,307.0656,394.521,433.7514,512.4416,587.8425,0.1581,0.093,0.0264,0.0173,0.0113,0.0079,0.006,0.0294,0.0
2026-04-12,google_play,Organic,unknown,2650,0.0,42.6978,57.6014,66.7103,0.0,0.0,0.0,0.0,0.0,0.0,0.1264,0.0675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03,google_play,Organic,unknown,2639,0.0,42.4821,65.2003,87.0263,103.7647,131.1549,165.9719,183.9046,193.851,217.6215,0.1561,0.0769,0.0216,0.0163,0.0076,0.0034,0.0061,0.0224,0.0
2025-10-08,google_play,Organic,unknown,2638,0.0,50.4436,77.0448,101.8955,138.6802,174.8472,270.1752,302.2793,327.818,369.477,0.1334,0.0637,0.0208,0.0114,0.0091,0.0057,0.0042,0.008,0.0
2026-03-09,google_play,Organic,unknown,2622,0.0,43.3006,55.579,69.926,87.6669,152.3342,0.0,0.0,0.0,0.0,0.1304,0.0736,0.0206,0.013,0.0,0.0,0.0,0.0,0.0
2025-02-08,google_play,Organic,unknown,2601,0.0,45.3232,85.1074,101.051,150.9505,166.9124,183.5396,189.4239,197.7536,248.4959,0.1646,0.09,0.0373,0.0158,0.0146,0.0073,0.0073,0.0258,0.0
2025-09-02,google_play,Organic,unknown,2591,0.0,47.8719,77.7069,112.3688,123.4772,145.7217,184.1726,213.4138,228.0554,242.3173,0.1413,0.0726,0.0297,0.0205,0.0073,0.0077,0.0058,0.0208,0.0
2026-04-05,google_play,Organic,unknown,2587,0.0,96.7627,134.9763,160.0992,210.1674,0.0,0.0,0.0,0.0,0.0,0.1194,0.0676,0.0247,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-28,google_play,Organic,unknown,2586,0.0,73.1042,151.2598,174.3304,236.1552,259.3999,287.5205,303.1913,326.6311,375.1811,0.1462,0.0762,0.0336,0.0193,0.0089,0.0089,0.0039,0.024,0.0
2025-08-05,google_play,Organic,unknown,2584,0.0,60.4186,97.628,107.1142,120.677,137.6184,171.8585,202.2523,217.9887,363.1496,0.1432,0.0774,0.0279,0.0155,0.0112,0.0066,0.005,0.0217,0.0
2026-04-03,google_play,Organic,unknown,2581,0.0,58.584,89.9746,101.9774,130.6524,0.0,0.0,0.0,0.0,0.0,0.1356,0.0639,0.0291,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-09,google_play,Organic,unknown,2571,0.0,69.0786,118.0108,146.3344,177.6754,210.0803,255.9202,282.2298,313.734,375.8342,0.1486,0.0793,0.0268,0.0187,0.0093,0.0062,0.0039,0.0249,0.0
2025-07-08,google_play,Organic,unknown,2566,0.0,48.8125,79.2806,106.4216,133.6846,168.094,187.31,201.7358,223.6326,272.0873,0.1633,0.092,0.0316,0.0156,0.0074,0.0055,0.0047,0.0269,0.0
2025-10-02,google_play,Organic,unknown,2565,0.0,32.9607,40.0272,49.3107,55.0731,104.787,179.2269,231.5606,248.161,270.8142,0.129,0.0589,0.0222,0.0136,0.0086,0.0043,0.0039,0.0101,0.0
2026-03-04,google_play,Organic,unknown,2541,0.0,59.4136,107.3172,164.2978,208.5711,367.203,0.0,0.0,0.0,0.0,0.1401,0.0736,0.0201,0.0142,0.0,0.0,0.0,0.0,0.0
2025-07-11,google_play,Organic,unknown,2533,0.0,43.4536,79.9804,94.9955,109.1922,420.6518,591.4854,641.5848,672.483,790.6668,0.1552,0.0896,0.0359,0.0189,0.0142,0.0095,0.0071,0.0265,0.0
2025-07-10,google_play,Organic,unknown,2529,0.0,60.7521,97.2764,148.6854,181.1994,231.5648,377.828,551.1587,664.0384,922.8286,0.1669,0.0949,0.0285,0.0194,0.0103,0.0103,0.0075,0.0233,0.0
2025-02-05,google_play,Organic,unknown,2526,0.0,113.338,145.695,166.2445,192.7546,233.1742,262.6972,272.0307,297.7574,364.1604,0.1975,0.1235,0.0412,0.0265,0.0107,0.0079,0.0067,0.0305,0.0
2025-02-06,google_play,Organic,unknown,2521,0.0,74.6454,155.0742,189.0741,219.0514,254.9398,292.085,313.828,343.5581,388.8051,0.1864,0.1015,0.0456,0.029,0.0167,0.0127,0.0087,0.0258,0.0
2025-03-08,google_play,Organic,unknown,2521,0.0,59.9307,80.2808,137.732,156.7953,190.9292,217.842,243.7022,259.5468,305.6827,0.1729,0.1031,0.0424,0.019,0.0107,0.0123,0.006,0.0234,0.0
2025-12-04,google_play,Organic,unknown,2519,0.0,71.4088,101.422,108.8638,117.0494,157.4462,233.9354,279.9629,314.2111,0.0,0.154,0.0798,0.0333,0.0175,0.0115,0.006,0.0048,0.0,0.0
2025-01-11,google_play,Organic,unknown,2517,0.0,78.9983,105.1498,140.3383,156.1752,180.1698,213.338,224.7192,241.826,285.9803,0.1728,0.0989,0.0421,0.0226,0.0139,0.0107,0.0064,0.023,0.0
2025-07-27,google_play,Organic,unknown,2503,0.0,56.9318,88.0162,150.7184,228.0598,265.7958,381.533,472.1832,529.5778,601.8044,0.1386,0.0787,0.0276,0.0132,0.008,0.0056,0.0056,0.0164,0.0
2026-03-27,google_play,Organic,unknown,2500,0.0,79.8112,139.1726,211.1786,280.2954,0.0,0.0,0.0,0.0,0.0,0.1284,0.0628,0.0256,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,google_play,Organic,unknown,2495,0.0,32.9085,48.9159,56.6512,67.8595,95.5182,0.0,0.0,0.0,0.0,0.1291,0.0685,0.0184,0.0144,0.0,0.0,0.0,0.0,0.0
2026-03-10,google_play,Organic,unknown,2489,0.0,57.0672,102.3658,136.7575,162.9651,189.0209,0.0,0.0,0.0,0.0,0.1189,0.0599,0.0205,0.0137,0.0,0.0,0.0,0.0,0.0
2026-03-29,google_play,Organic,unknown,2489,0.0,51.0792,63.4121,121.3364,197.362,0.0,0.0,0.0,0.0,0.0,0.1201,0.0671,0.0277,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-22,google_play,Organic,unknown,2486,0.0,33.6028,59.8764,69.7703,81.2538,0.0,0.0,0.0,0.0,0.0,0.134,0.0752,0.0229,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-02,google_play,Organic,unknown,2481,0.0,47.6356,65.7051,81.6609,93.1976,124.0723,168.7066,194.3977,232.9177,0.0,0.133,0.0588,0.0218,0.0185,0.0105,0.006,0.0056,0.0,0.0
2026-03-21,google_play,Organic,unknown,2475,0.0,27.7268,41.5743,53.5424,75.4154,85.6495,0.0,0.0,0.0,0.0,0.116,0.0606,0.0242,0.0029,0.0,0.0,0.0,0.0,0.0
2026-03-20,google_play,Organic,unknown,2468,0.0,34.9768,56.4688,71.1221,113.2773,130.1432,0.0,0.0,0.0,0.0,0.1248,0.0669,0.0223,0.0118,0.0,0.0,0.0,0.0,0.0
2025-01-12,google_play,Organic,unknown,2465,0.0,50.8458,104.3729,140.5398,163.619,188.4205,234.143,250.4803,328.1392,747.9915,0.1826,0.1067,0.0414,0.0211,0.0118,0.0077,0.0069,0.0239,0.0
2025-07-19,google_play,Organic,unknown,2460,0.0,45.0673,71.5809,85.8953,105.5294,154.2271,196.6972,205.1014,212.3612,248.5912,0.1451,0.0846,0.0333,0.0171,0.0081,0.0049,0.0045,0.024,0.0
2025-11-10,google_play,Organic,unknown,2452,0.0,43.6965,78.5516,116.897,156.097,312.9871,368.6424,413.2417,474.8992,0.0,0.1395,0.0824,0.0237,0.0135,0.0086,0.0053,0.0041,0.0,0.0
2025-09-01,google_play,Organic,unknown,2450,0.0,26.6735,42.8115,51.9553,92.177,135.5763,224.7216,368.6501,534.7693,908.1604,0.1416,0.082,0.0269,0.0163,0.0122,0.0061,0.0045,0.0167,0.0
2025-12-25,google_play,Organic,unknown,2445,0.0,47.1444,74.6216,90.1114,145.1457,220.6952,362.3493,412.0756,0.0,0.0,0.1456,0.0859,0.0376,0.02,0.0115,0.0098,0.0,0.0,0.0
2025-11-05,google_play,Organic,unknown,2443,0.0,59.481,71.3732,75.4762,126.6096,164.905,256.5593,358.0016,432.7206,0.0,0.1535,0.0757,0.0229,0.0151,0.0086,0.0074,0.0057,0.0,0.0
2025-10-05,google_play,Organic,unknown,2440,0.0,44.4508,55.1544,74.2352,95.5776,134.1053,173.5776,192.7708,210.4092,275.7966,0.1201,0.068,0.0225,0.0139,0.0098,0.0074,0.0049,0.0127,0.0
2025-06-08,google_play,Organic,unknown,2426,0.0,65.9643,120.3713,138.1834,178.5078,238.509,351.5402,394.9197,435.9486,520.7568,0.1707,0.094,0.0359,0.0243,0.014,0.0087,0.0062,0.0317,0.0
2025-03-09,google_play,Organic,unknown,2415,0.0,50.1884,107.7098,153.21,201.1737,313.135,445.1768,487.8969,541.5019,591.4526,0.171,0.1085,0.0427,0.0228,0.012,0.0112,0.0083,0.0269,0.0
2026-03-13,google_play,Organic,unknown,2415,0.0,39.1682,61.7282,85.9074,132.4856,181.2316,0.0,0.0,0.0,0.0,0.1337,0.0679,0.0253,0.0128,0.0,0.0,0.0,0.0,0.0
2025-07-20,google_play,Organic,unknown,2405,0.0,88.3192,119.4527,179.2692,229.8246,286.3514,379.4084,426.7732,513.262,589.5021,0.1518,0.0802,0.0341,0.0191,0.0087,0.01,0.0062,0.0245,0.0
2025-06-07,google_play,Organic,unknown,2397,0.0,53.1628,122.4546,152.9294,178.5507,426.2304,482.2405,531.3295,568.2685,672.9102,0.1811,0.1018,0.0442,0.0263,0.0175,0.0142,0.0125,0.0342,0.0
2026-01-11,google_play,Organic,unknown,2392,0.0,35.3066,85.8815,103.1984,114.3214,140.0624,213.9818,229.196,0.0,0.0,0.1401,0.0844,0.0284,0.0163,0.0096,0.0092,0.0,0.0,0.0
2025-05-17,google_play,Organic,unknown,2391,0.0,58.11,95.1892,117.2382,133.2476,226.2289,420.0131,493.6843,545.6022,683.483,0.1564,0.1012,0.041,0.0192,0.0151,0.0109,0.0105,0.0263,0.0
2025-01-19,google_play,Organic,unknown,2390,0.0,37.0743,68.831,99.7408,152.6008,172.45,235.2128,239.5916,245.4684,274.5464,0.1812,0.1075,0.0469,0.0276,0.013,0.01,0.005,0.0226,0.0
2025-11-04,google_play,Organic,unknown,2388,0.0,73.6468,122.187,173.0002,294.032,453.6712,617.3676,637.97,681.147,0.0,0.1591,0.098,0.0444,0.0343,0.023,0.0159,0.013,0.0,0.0
2025-12-28,google_play,Organic,unknown,2385,0.0,43.2888,60.1721,70.0482,79.1582,92.2813,123.4834,162.5101,0.0,0.0,0.13,0.0671,0.0268,0.0159,0.0096,0.0092,0.0,0.0,0.0
2026-04-10,google_play,Organic,unknown,2382,0.0,35.5863,62.9092,76.211,0.0,0.0,0.0,0.0,0.0,0.0,0.1129,0.0668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10,google_play,Organic,unknown,2369,0.0,49.3348,68.7582,95.5506,117.364,157.8104,224.9832,236.4818,260.3186,277.769,0.119,0.0772,0.0224,0.0165,0.0101,0.0042,0.0034,0.0253,0.0
2026-03-19,google_play,Organic,unknown,2367,0.0,30.0952,55.1744,63.9316,70.5676,107.2687,0.0,0.0,0.0,0.0,0.1335,0.0684,0.0232,0.0139,0.0,0.0,0.0,0.0,0.0
2025-08-16,google_play,Organic,unknown,2364,0.0,47.1512,79.7814,96.6802,145.561,189.7169,252.7018,276.4138,324.1381,408.3838,0.1383,0.074,0.0338,0.0157,0.0068,0.008,0.0076,0.0233,0.0
